DBCODE,ENTITY,YEAR,SITECODE,SECTION,REACH,PASS,UNITNUM,UNITTYPE,VERT_INDEX,PITNUMBER,SPECIES,LENGTH1,LENGTH2,WEIGHT,CLIP,SAMPLEDATE,NOTES
AS006,1,1987,MACKCC-L,CC,L,1,1,R,1,NA,ONCL,58,NA,1.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,2,NA,ONCL,61,NA,1.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,3,NA,ONCL,89,NA,5.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,4,NA,ONCL,58,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,5,NA,ONCL,93,NA,6.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,6,NA,ONCL,86,NA,5.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,7,NA,ONCL,107,NA,10.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,8,NA,ONCL,131,NA,20.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,9,NA,ONCL,103,NA,9.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,10,NA,ONCL,117,NA,13,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,11,NA,ONCL,100,NA,8.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,12,NA,ONCL,127,NA,17.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,13,NA,ONCL,99,NA,8.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,14,NA,ONCL,111,NA,11.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,15,NA,ONCL,149,NA,27.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,1,R,16,NA,ONCL,102,NA,9.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,1,NA,ONCL,53,NA,1.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,2,NA,ONCL,58,NA,2.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,3,NA,ONCL,58,NA,2.05,NONE,10/7/87,NA
